Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.TP,QUERY.FP,QUERY.UNK,FP.gt,FP.al,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.TP.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP.het_hom_ratio,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,lowcmp_SimpleRepeat_homopolymer_gt10,PASS,*,QUAL,*,0.943548,0.958678,0.999213,0.951053,124,117,7,153693,116,5,153572,1,0,,4.142857,,,,3.809524,,4.0,,,1.413309,3.761905,,1.412412
INDEL,*,lowcmp_SimpleRepeat_homopolymer_gt10,PASS,het,QUAL,*,0.91954,0.951807,0.998985,0.935396,87,80,7,81767,79,4,81684,0,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_SimpleRepeat_homopolymer_gt10,PASS,hetalt,QUAL,*,1.0,1.0,0.998863,1.0,16,16,0,14071,16,0,14055,0,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_SimpleRepeat_homopolymer_gt10,PASS,homalt,QUAL,*,1.0,0.954545,0.99962,0.976744,21,21,0,57855,21,1,57833,1,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_SimpleRepeat_quadTR_11to50,PASS,*,QUAL,*,0.994874,0.995646,0.608097,0.99526,19312,19213,99,49229,19209,84,29936,47,0,,1.833305,,22.5,,1.826293,,2.12,,,2.075236,1.822731,,2.248572
INDEL,*,lowcmp_SimpleRepeat_quadTR_11to50,PASS,het,QUAL,*,0.995838,0.995092,0.641179,0.995464,10811,10766,45,30093,10745,53,19295,17,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_SimpleRepeat_quadTR_11to50,PASS,hetalt,QUAL,*,0.980031,0.99767,0.444444,0.988772,2604,2552,52,4635,2569,6,2060,6,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_SimpleRepeat_quadTR_11to50,PASS,homalt,QUAL,*,0.999661,0.995777,0.591752,0.997715,5897,5895,2,14501,5895,25,8581,24,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_SimpleRepeat_quadTR_51to200,PASS,*,QUAL,*,0.968629,0.978486,0.701581,0.973533,2582,2501,81,8411,2456,54,5901,41,0,,1.974895,,14.0,,1.92437,,2.75,,,3.950488,1.737395,,5.214201
INDEL,*,lowcmp_SimpleRepeat_quadTR_51to200,PASS,het,QUAL,*,0.970339,0.961628,0.836688,0.965964,944,916,28,5266,827,33,4406,22,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_SimpleRepeat_quadTR_51to200,PASS,hetalt,QUAL,*,0.956034,0.992255,0.35872,0.973808,1160,1109,51,1812,1153,9,650,8,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_SimpleRepeat_quadTR_51to200,PASS,homalt,QUAL,*,0.995816,0.97541,0.633908,0.985507,478,476,2,1333,476,12,845,11,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_SimpleRepeat_quadTR_gt200,PASS,*,QUAL,*,0.0,,1.0,,0,0,0,3,0,0,3,0,0,,,,,,,,,,,0.5,,,0.5
INDEL,*,lowcmp_SimpleRepeat_quadTR_gt200,PASS,het,QUAL,*,0.0,,1.0,,0,0,0,1,0,0,1,0,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_SimpleRepeat_quadTR_gt200,PASS,hetalt,QUAL,*,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
